2025-11-05 20:03:02,787 | INFO | src.utils | Epoch 18 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:03:15,154 | INFO | src.utils | Epoch 19 train loss: 7.697519, examples=97401, time=12.4s
2025-11-05 20:03:26,132 | INFO | src.utils | Epoch 19 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:03:38,802 | INFO | src.utils | Epoch 20 train loss: 7.697519, examples=97401, time=12.7s
2025-11-05 20:03:49,763 | INFO | src.utils | Epoch 20 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:03:49,763 | INFO | src.utils | Saving checkpoint at epoch 20
2025-11-05 20:03:49,769 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_20.pth
2025-11-05 20:03:49,773 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 20:03:49,774 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 20:03:49,774 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
2025-11-05 20:04:00,783 | INFO | src.utils | Test metrics: {"loss": 7.200424671173096, "rmse": 2.6833606127680314, "precision@k": 0.0015906680805938495, "recall@k": 0.015906680805938492, "ndcg@k": 0.006917743671562992}
2025-11-05 20:04:00,783 | INFO | src.utils | Saving final model and metrics...
2025-11-05 20:04:00,788 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_20.pth
2025-11-05 20:04:00,792 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 20:04:00,794 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 20:04:00,795 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
2025-11-05 20:04:00,798 | INFO | src.utils | Saved metrics to artifacts/model\metrics.json
2025-11-05 20:04:00,811 | INFO | src.utils | Saved used config to artifacts/model\config_used.yaml
2025-11-05 20:04:00,812 | INFO | src.utils | Training finished.
2025-11-05 20:04:00,813 | INFO | src.utils | Best val RMSE 2.718695 at epoch 1
2025-11-05 20:34:54,246 | INFO | src.utils | Loaded config from configs/train.yaml
2025-11-05 20:34:54,247 | INFO | src.utils | Set python and numpy seed to 42
2025-11-05 20:34:54,331 | INFO | src.utils | Configured torch.backends.cudnn for deterministic behavior (may be slower).
2025-11-05 20:34:54,408 | INFO | src.utils | Inferred n_users=943, n_items=1349 from processed files.
2025-11-05 20:34:54,408 | INFO | src.utils | Preparing dataloaders with model_type=mf, batch_size=1024, num_workers=0
2025-11-05 20:34:54,478 | INFO | src.dataset | Loaded interactions: train=97401 val=943 test=943
2025-11-05 20:34:54,482 | INFO | src.utils | Building model from config. model_cfg keys: ['type', 'embedding_dim', 'ncf_hidden', 'dropout', 'clamp_preds', 'min_rating', 'max_rating', 'model_init_args']
2025-11-05 20:34:54,660 | INFO | src.utils | Model built and moved to device cuda
2025-11-05 20:34:57,613 | INFO | src.utils | Built optimizer adam lr=0.001 betas=(0.9, 0.999) eps=1e-08 weight_decay=0.0
2025-11-05 20:34:57,613 | INFO | src.utils | Starting training for 20 epochs. use_amp=True
2025-11-05 20:35:01,918 | INFO | src.utils | Epoch 1 train loss: 7.697519, examples=97401, time=4.3s
2025-11-05 20:35:02,545 | INFO | src.utils | Epoch 1 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:02,546 | INFO | src.utils | New best val RMSE 2.718695 at epoch 1. Saving best model.
2025-11-05 20:35:02,556 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_1.pth
2025-11-05 20:35:02,562 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 20:35:02,564 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 20:35:02,564 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
2025-11-05 20:35:04,758 | INFO | src.utils | Epoch 2 train loss: 7.697519, examples=97401, time=2.2s
2025-11-05 20:35:05,248 | INFO | src.utils | Epoch 2 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:07,342 | INFO | src.utils | Epoch 3 train loss: 7.697519, examples=97401, time=2.1s
2025-11-05 20:35:07,825 | INFO | src.utils | Epoch 3 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:12,211 | INFO | src.utils | Epoch 4 train loss: 7.697519, examples=97401, time=4.4s
2025-11-05 20:35:12,799 | INFO | src.utils | Epoch 4 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:15,868 | INFO | src.utils | Epoch 5 train loss: 7.697519, examples=97401, time=3.1s
2025-11-05 20:35:16,482 | INFO | src.utils | Epoch 5 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:16,482 | INFO | src.utils | Saving checkpoint at epoch 5
2025-11-05 20:35:16,487 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_5.pth
2025-11-05 20:35:16,491 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 20:35:16,492 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 20:35:16,492 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
2025-11-05 20:35:19,553 | INFO | src.utils | Epoch 6 train loss: 7.697519, examples=97401, time=3.1s
2025-11-05 20:35:20,219 | INFO | src.utils | Epoch 6 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:23,318 | INFO | src.utils | Epoch 7 train loss: 7.697519, examples=97401, time=3.1s
2025-11-05 20:35:23,938 | INFO | src.utils | Epoch 7 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:27,091 | INFO | src.utils | Epoch 8 train loss: 7.697519, examples=97401, time=3.2s
2025-11-05 20:35:27,656 | INFO | src.utils | Epoch 8 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:30,669 | INFO | src.utils | Epoch 9 train loss: 7.697519, examples=97401, time=3.0s
